zip_code,total_w_poverty_status,estimate,moe
14201,total_poverty,10807,888
14202,total_poverty,3306,586
14203,total_poverty,1806,282
14204,total_poverty,7994,804
14206,total_poverty,20000,1303
14207,total_poverty,23773,1534
14209,total_poverty,6759,902
14210,total_poverty,14108,1217
14211,total_poverty,22134,1679
14212,total_poverty,10864,938
14213,total_poverty,21596,1841
14214,total_poverty,18078,1248
14215,total_poverty,40139,2254
14216,total_poverty,21411,1354
14220,total_poverty,22491,1287
14222,total_poverty,12834,1257
