year,race,estimate,moe
2010,total,261210,40
2010,white,135264,5775
2010,black,99988,4242
2010,american_indian_alaskan_native,1496,883
2010,asian,9856,2397
2010,native_hawaiian_pacific_islander,104,174
2010,some_other_race,7729,2561
2010,two_or_more_races,6773,2030
2010,two_races_w_some_other,958,895
2010,two_race_no_other_three_more,5815,1876
2011,total,261004,77
2011,white,131274,4404
2011,black,96909,4143
2011,american_indian_alaskan_native,1317,537
2011,asian,8238,1970
2011,native_hawaiian_pacific_islander,62,69
2011,some_other_race,11360,2665
2011,two_or_more_races,11844,2564
2011,two_races_w_some_other,2944,1428
2011,two_race_no_other_three_more,8900,2332
2012,total,259386,32
2012,white,128663,4389
2012,black,95223,3526
2012,american_indian_alaskan_native,1140,708
2012,asian,11733,1856
2012,native_hawaiian_pacific_islander,173,286
2012,some_other_race,13519,2472
2012,two_or_more_races,8935,1912
2012,two_races_w_some_other,1569,929
2012,two_race_no_other_three_more,7366,1807
2013,total,258945,66
2013,white,123198,5186
2013,black,96248,3683
2013,american_indian_alaskan_native,829,422
2013,asian,10830,2527
2013,native_hawaiian_pacific_islander,17,37
2013,some_other_race,17430,2718
2013,two_or_more_races,10393,2602
2013,two_races_w_some_other,2387,1161
2013,two_race_no_other_three_more,8006,2333
2014,total,258699,39
2014,white,122457,4407
2014,black,96258,3859
2014,american_indian_alaskan_native,1387,647
2014,asian,14543,2361
2014,native_hawaiian_pacific_islander,85,141
2014,some_other_race,15986,2643
2014,two_or_more_races,7983,1779
2014,two_races_w_some_other,2267,734
2014,two_race_no_other_three_more,5716,1632
2015,total,258066,40
2015,white,122319,4210
2015,black,96162,3711
2015,american_indian_alaskan_native,1077,742
2015,asian,12822,2459
2015,native_hawaiian_pacific_islander,123,145
2015,some_other_race,15892,2995
2015,two_or_more_races,9671,2428
2015,two_races_w_some_other,1710,1061
2015,two_race_no_other_three_more,7961,2469
2016,total,256908,38
2016,white,120967,4783
2016,black,94657,3356
2016,american_indian_alaskan_native,1281,791
2016,asian,16617,2901
2016,native_hawaiian_pacific_islander,240,193
2016,some_other_race,13529,2907
2016,two_or_more_races,9617,2376
2016,two_races_w_some_other,2292,1297
2016,two_race_no_other_three_more,7325,1810
2017,total,258592,82
2017,white,120836,4613
2017,black,92529,4865
2017,american_indian_alaskan_native,894,471
2017,asian,17442,2494
2017,native_hawaiian_pacific_islander,8,16
2017,some_other_race,15933,2841
2017,two_or_more_races,10950,2693
2017,two_races_w_some_other,3244,1398
2017,two_race_no_other_three_more,7706,2191
2018,total,256322,72
2018,white,118102,4520
2018,black,90050,3971
2018,american_indian_alaskan_native,1050,471
2018,asian,16712,2494
2018,native_hawaiian_pacific_islander,22,43
2018,some_other_race,17564,2607
2018,two_or_more_races,12822,2958
2018,two_races_w_some_other,4072,1582
2018,two_race_no_other_three_more,8750,2358
2019,total,255300,64
2019,white,114818,4414
2019,black,94822,5160
2019,american_indian_alaskan_native,1403,472
2019,asian,17798,2543
2019,native_hawaiian_pacific_islander,69,124
2019,some_other_race,17561,2900
2019,two_or_more_races,8829,2453
2019,two_races_w_some_other,1298,942
2019,two_race_no_other_three_more,7531,2259
