us_estimated_total,us_margin_of_error,ny_estimated_total,ny_margin_of_error,erie_estimated_total,erie_margin_of_error,buffalo_estimated_total,buffalo_margin_of_error,year
309349689,0,19392283,0,918652,0,261210,40,2010
311591919,0,19465197,0,918028,0,261004,77,2011
313914040,0,19570261,0,919086,0,259386,32,2012
316128839,0,19651127,0,919866,0,258945,66,2013
318857056,0,19746227,0,922835,0,258699,39,2014
321418821,0,19795791,0,922578,0,258066,40,2015
323127515,0,19745289,0,921046,0,256908,38,2016
325719178,0,19849399,0,925528,0,258592,82,2017
327167439,0,19542209,0,919719,0,256322,72,2018
328239523,0,19453561,0,918702,0,255300,64,2019
