race,estimated_total,overall_total,margin_of_error,year
White ,135264,261210,5775,2010
Black or African American ,99988,261210,4242,2010
American Indian and Alaska Native ,1496,261210,883,2010
Asian ,9856,261210,2397,2010
Native Hawaiian and Other Pacific Islander ,104,261210,174,2010
Some other race ,7729,261210,2561,2010
Two or more races,6773,261210,2030,2010
Two races including Some other race,958,261210,895,2010
"Two races excluding Some other race, and three or more races",5815,261210,1876,2010
White ,131274,261004,4404,2011
Black or African American ,96909,261004,4143,2011
American Indian and Alaska Native ,1317,261004,537,2011
Asian ,8238,261004,1970,2011
Native Hawaiian and Other Pacific Islander ,62,261004,69,2011
Some other race ,11360,261004,2665,2011
Two or more races,11844,261004,2564,2011
Two races including Some other race,2944,261004,1428,2011
"Two races excluding Some other race, and three or more races",8900,261004,2332,2011
White ,128663,259386,4389,2012
Black or African American ,95223,259386,3526,2012
American Indian and Alaska Native ,1140,259386,708,2012
Asian ,11733,259386,1856,2012
Native Hawaiian and Other Pacific Islander ,173,259386,286,2012
Some other race ,13519,259386,2472,2012
Two or more races,8935,259386,1912,2012
Two races including Some other race,1569,259386,929,2012
"Two races excluding Some other race, and three or more races",7366,259386,1807,2012
White ,123198,258945,5186,2013
Black or African American ,96248,258945,3683,2013
American Indian and Alaska Native ,829,258945,422,2013
Asian ,10830,258945,2527,2013
Native Hawaiian and Other Pacific Islander ,17,258945,37,2013
Some other race ,17430,258945,2718,2013
Two or more races,10393,258945,2602,2013
Two races including Some other race,2387,258945,1161,2013
"Two races excluding Some other race, and three or more races",8006,258945,2333,2013
White ,122457,258699,4407,2014
Black or African American ,96258,258699,3859,2014
American Indian and Alaska Native ,1387,258699,647,2014
Asian ,14543,258699,2361,2014
Native Hawaiian and Other Pacific Islander ,85,258699,141,2014
Some other race ,15986,258699,2643,2014
Two or more races,7983,258699,1779,2014
Two races including Some other race,2267,258699,734,2014
"Two races excluding Some other race, and three or more races",5716,258699,1632,2014
White ,122319,258066,4210,2015
Black or African American ,96162,258066,3711,2015
American Indian and Alaska Native ,1077,258066,742,2015
Asian ,12822,258066,2459,2015
Native Hawaiian and Other Pacific Islander ,123,258066,145,2015
Some other race ,15892,258066,2995,2015
Two or more races,9671,258066,2428,2015
Two races including Some other race,1710,258066,1061,2015
"Two races excluding Some other race, and three or more races",7961,258066,2469,2015
White ,120967,256908,4783,2016
Black or African American ,94657,256908,3356,2016
American Indian and Alaska Native ,1281,256908,791,2016
Asian ,16617,256908,2901,2016
Native Hawaiian and Other Pacific Islander ,240,256908,193,2016
Some other race ,13529,256908,2907,2016
Two or more races,9617,256908,2376,2016
Two races including Some other race,2292,256908,1297,2016
"Two races excluding Some other race, and three or more races",7325,256908,1810,2016
White ,120836,258592,4613,2017
Black or African American ,92529,258592,4865,2017
American Indian and Alaska Native ,894,258592,471,2017
Asian ,17442,258592,2494,2017
Native Hawaiian and Other Pacific Islander ,8,258592,16,2017
Some other race ,15933,258592,2841,2017
Two or more races,10950,258592,2693,2017
Two races including Some other race,3244,258592,1398,2017
"Two races excluding Some other race, and three or more races",7706,258592,2191,2017
White ,118102,256322,4520,2018
Black or African American ,90050,256322,3971,2018
American Indian and Alaska Native ,1050,256322,471,2018
Asian ,16712,256322,2494,2018
Native Hawaiian and Other Pacific Islander ,22,256322,43,2018
Some other race ,17564,256322,2607,2018
Two or more races,12822,256322,2958,2018
Two races including Some other race,4072,256322,1582,2018
"Two races excluding Some other race, and three or more races",8750,256322,2358,2018
White ,114818,255300,4414,2019
Black or African American ,94822,255300,5160,2019
American Indian and Alaska Native ,1403,255300,472,2019
Asian ,17798,255300,2543,2019
Native Hawaiian and Other Pacific Islander ,69,255300,124,2019
Some other race ,17561,255300,2900,2019
Two or more races,8829,255300,2453,2019
Two races including Some other race,1298,255300,942,2019
"Two races excluding Some other race, and three or more races",7531,255300,2259,2019
